name,description,cuisine,course,ingredients_name,ingredients_quantity,prep_time (in mins),cook_time (in mins),instructions,image_url,flavour
Mulakootal Recipe (Vegetables In Coconut Gravy),"Mulakootal Recipe is a very old, traditional Palakkad Brahmin recipe. It’s a curry made from a combination of lentils and vegetables and coconut gravy. It is a mildly spiced gravy that goes well with steamed rice and ghee. There are some variations of mulakootal, basically depending on the type of vegetable one uses in cooking it. There is keerai mulakootal made with lentils and spinach, there is pumpkin mulakootal made using pumpkin and vegetable mulakootal uses different types of vegetables. This curry comes very close to kootu which we make in Tamil Nadu.",South Indian Recipes,Lunch,"Yellow Moong Dal (Split), Mixed vegetables, Turmeric powder (Haldi), Water, Salt, Fresh coconut, Dry Red Chillies, Oil, Mustard seeds (Rai/ Kadugu), Dry Red Chillies, White Urad Dal (Split), Curry leaves","1/2 cup Yellow Moong Dal (Split) , can use toor dal as well  2 cups Mixed vegetables , I have used radish turnips, and brinjal  1/2 teaspoon Turmeric powder (Haldi)  1 cup Water Salt , to taste  1/2 cup Fresh coconut , grated  3 Dry Red Chillies For tempering 1 teaspoon Oil  1/4 teaspoon Mustard seeds (Rai/ Kadugu)  2 Dry Red Chillies  1 teaspoon White Urad Dal (Split)  1 sprig Curry leaves",25.0,45.0,"To begin with the Mulakootal Recipe first, in a blender grind fresh coconut and dried red chilies together to a coarse paste.Now in a pressure cooker wash the lentils and cook them completely.Take a Kadai add the vegetables, cook the vegetables completely. After the vegetables are cooked add the dal to it and mix them well.Combine and cook the vegetables and dal for 5 minutes and then add coconut paste to the mixture. On low flame cook for another 5 minutes. You can add some water if you feel the consistency is thickNow in a small pan heat some oil and add mustard seeds, wait till they splutter and then add urad dal, curry leaves.Add this tempering to the mulakootal and serve it hot.Serve your Mulakootal with hot rice or roti with some curd.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/Mulakootal.jpg,"spicy, savory"
Parshe Macher Jhal Recipe - Mullet In Mustard Sauce,"In Parshe Macher Jhal, Mullet is cooked whole in a hot mustard sauce and flavoured with goodness of coriander leaves. It is easy to make and mustard sauce adds an extra flavour to it. ",Bengali Recipes,Lunch,"Parshe, Kasundi mustard sauce, Tomatoes, Green Chillies, Turmeric powder (Haldi), Red Chilli powder, Kalonji (Onion Nigella Seeds), Mustard oil, Coriander (Dhania) Leaves, Salt","8 Parshe , (mullet fish)  5 tablespoons Kasundi mustard sauce  2 Tomatoes , puree  5 Green Chillies , slit  2 teaspoon Turmeric powder (Haldi)  2 teaspoon Red Chilli powder  2 teaspoon Kalonji (Onion Nigella Seeds)  5 tablespoons Mustard oil  1/2 cup Coriander (Dhania) Leaves , chopped Salt , to taste",5.0,30.0,"To begin making the Parshe Macher Jhal Recipe, firstly marinate the fish with turmeric powder and salt. Keep it aside for 5 minutes.Next, heat mustard oil in frying pan and fry the fish till it turns light brown on both the sides. Keep the fish aside.Reheat the same oil, add the kalonji seeds and green chillies. When the seeds start to crackle, add the tomato puree, remaining turmeric powder, red chilli powder and salt.Cook on a moderate flame till oil has been released from the masala paste.At this stage, add about 1-1/2 cups of warm water, give it a nice stir and bring the curry to a boil.Adjust the salt, add the fried fish, mustard paste and cook for a further 3 to 4 minutes. Add the coriander leaves and serve hot.Serve Parshe Macher Jhal along with Steamed Rice and Bengali Style Cholar Dal for your weekday meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/maumita.paulghosh-gmail.com/Parshe_Maacher_Jhal_Mullet_in_Mustard_Sauce.jpg,spicy
Chocolate Chip & Raisin Rolls Recipe,"Chocolate Chip & Raisin Rolls is an indulgent breakfast or tea-time treat. There is nothing as satisfying as baking your own bread! Specially if the bread turns out to be a soft, chocolate and raisin filled fluffy roll, best eaten warm. Using a few simple ingredients, a bit of planning and patience, the results of this recipe are satisfying and oh-so-scrumptious. ",Continental,Snack,"Whole Wheat Flour, All Purpose Flour (Maida), Milk, Active dry yeast, Honey, Butter (Salted), Salt, Water, Sultana Raisins, Chocolate chips, Butter (Salted), Orange Zest (Rind), Sugar","2 cups Whole Wheat Flour  2 cups All Purpose Flour (Maida)  1 cup Milk , luke warm  3 teaspoons Active dry yeast  2 tablespoons Honey , or jaggery or sugar  1 tablespoon Butter (Salted) , softened  1 teaspoon Salt  1 1/2 cups Water , or as required For the filling 1/2 cup Sultana Raisins  3/4 cup Chocolate chips , dark and white  3-4 tablespoons Butter (Salted) , ricotta cheese or cream cheese or soft paneer Orange Zest (Rind) , of 1 orange Sugar , to sprinkle on top",25.0,180.0,"To begin making the Chocolate Chip & Raisin Rolls first mix the flours and salt in a mixing bowl or the bowl of a food processor or stand mixer. Blend them together briefly.Next, in a large measuring cup, measure 1 cup lukewarm milk. To this add honey, butter and whisk together. Sprinkle the yeast over the milk and allow it to get frothy for about 3-4 minutes.If using a food processor/stand mixer; with the food processor/stand mixer running on low speed, gradually pour the milk mixture into the processor over the flour.Slowly add in the water (as much required) and allow the flour to form a soft dough within the bowl of the processor/mixer.If using a mixing bowl; add the frothy yeast and milk mixture to the flour and begin to knead with your hands.Add water gradually, only as much as needed and keep kneading it till the flour forms a soft and pliable dough.Take care not to add too much water or you will have a sticky unmanageable dough.Turn dough out onto a floured surface and knead again for 8-10 minutes, working the dough very well, until it is smooth and elastic. (If using the stand mixer, knead on medium speed using the dough hook)Transfer the formed dough to a lightly greased bowl, turning once to coat all over. Cover with a wet kitchen towel or plastic wrap and set it aside in a warm place for about 1 - 1 1/2 hours until it has risen and doubled in size.Meanwhile, mix together the butter, chocolate chips, raisins and orange zest. Grease and line a baking sheet or a tray with parchment paper and set it aside for later use.Once the dough has doubled, dust a working surface again with flour and gently roll the dough into a rough 9x12 inch rectangle on it.Spread the butter chocolate chip raisin mixture evenly on top of the rolled out dough.Then, starting with the longer end, roll the dough up into a scroll, making sure to keep it tight so the filling remains inside.Use a sharp knife to cut the log into 1 inch rounds. Place the individual rounds on the prepared sheet, cut side down.Cover the sheet with a wet kitchen towel and allow the rolls to rise a second time, for about 30 minutes.Meanwhile, set your oven to preheat at 200 degrees C.When the rolls have risen for 30 minutes, reduce the heat to 180 degrees C, sprinkle the rolls with granulated sugar and place them to bake until they are are golden brown.Remove the Chocolate Chip and Raisin Rolls from the oven, allow them to rest for 5-10 minutes.Serve Chocolate Chip & Raisin Rolls along with your evening masala chai or as an after school snack.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuli_Ajay/Chocolate_Chip_and_Raisin_Rolls_original.jpg,sweet
Omakka Curry Recipe - Kerala Style Papaya Curry,"Omakka Curry is a simple Papaya based curry which is made in most of the Kerala households for lunch or dinner. it is mildly spicy and is eaten with Kerala Matta Rice. Full of flavour and taste, this curry is delicious and easy to make.",Kerala Recipes,Lunch,"Raw papaya, Green Chilli, Fresh coconut, Pearl onions (Sambar Onions), Curry leaves, Red Chilli powder, Turmeric powder (Haldi), Cumin seeds (Jeera), Mustard seeds (Rai/ Kadugu), Dry Red Chillies, Tamarind, Oil, Salt","1/2 Raw papaya  1 Green Chilli , adjustable  1 cup Fresh coconut , grated  3 Pearl onions (Sambar Onions) , thinly sliced  2 sprig Curry leaves  2 teaspoons Red Chilli powder  1 teaspoon Turmeric powder (Haldi)  1/2 teaspoon Cumin seeds (Jeera)  1/4 teaspoon Mustard seeds (Rai/ Kadugu)  2 Dry Red Chillies Tamarind , Gooseberry Sized Oil , as required Salt , to taste",20.0,10.0,"To begin making the Omakka Curry Recipe, cut the papaya into medium cubes and mix with red chilli powder, turmeric powder and salt with a little water.Add them into a pressure cooker and cook till it releases 1 whistle. After 1 whistle, simmer for 5 minutes on low heat. Switch off the heat and let the pressure release naturally. In the meantime, soak the tamarind in warm water. Take out the pulp after 15 minutes and keep it aside.In a mixie jar, take the grated coconut, green chillies, 1 sambar onion, and cumin seeds with a little water and proceed to make a fine paste. Keep it aside.Open the cooker, mash the cooked papaya into a soft pulp and mix with the coconut green chilli and onion paste. Switch on the heat again. Cook it on a very low flame. Water can be added at this stage if you need less consistency in your curry. Keep stirring for only a few seconds and then add the tamarind pulp to it.Cook this for 3 or 4 minutes on a low flame. Switch off the flame.Heat required oil in a tadka pan. Add mustard seeds and when they crackle, add thinly sliced sambar onions.When the onions turn brown, add the dry red chillies and curry leaves.  Saute for about 15 seconds and turn off the gas.Pour this onto the papaya curry and give it a stir. Serve hot.Serve Omakka Curry along with Kerala Matta Rice/ Steamed Rice for a weekday lunch. You can also serve it with Phulka and Beetroot Raita for your everyday meals.",https://www.archanaskitchen.com/images/archanaskitchen/0-Affiliate-Articles/Ommakka_papaya_curry_Kerala_Style.jpg,spicy
Chinese 5 spice powder Recipe ,"Chinese 5 spice powder Recipe is a medley of 5 distinct spice which are star anise, peppercorns, cloves, cinnamon stick and cumin seeds. This mixture is primarily used in the Chinese cooking. It is mainly used in the meat dishes as Spice rub to add some extra flavors to the meat.",Chinese,,"Star anise, Cinnamon Stick (Dalchini), Whole Black Peppercorns, Cumin seeds (Jeera), Cloves (Laung), Cloves (Laung)",5 Star anise  3 inch Cinnamon Stick (Dalchini)  3 teaspoon Whole Black Peppercorns  3 teaspoon Cumin seeds (Jeera)  6 Cloves (Laung)  6 Cloves (Laung),0.0,10.0,We begin making the Chinese 5 spice powder by grinding all the ingredients in a hand blender to a coarse powderOnce done store it in an airtight container for further use.Serve the Chinese 5 spice powder in a Zhejiang Style Crispy Five Spice Powder Spring Roll Recipe.,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Chinese_5_spice_powder_Recipe_.jpg,savory
Malabar Prawn Curry Recipe,"Malabar Prawn Curry is a recipe from the coastal regions of South India, KERALA, which is aptly called “God’s Own country”. Because of the abundance of coconut trees in Kerala, it finds it's exclusive presence in Malabar Cuisine. Malabari Cuisine is from the Southern Part of Konkan Coast, which is quite different from the Northern Konkan cuisine namely Malvani and Gonmantak. Usage of Tamarind and Curry leaves is the signature of Malabari Cuisine. This recipe has a burst of flavour with the tanginess of tamarind, great flavours of curry leaves and the sweet taste of coconut milk.",Kerala Recipes,Lunch,"Prawns, Coconut milk, Tamarind Paste, Curry leaves, Mustard seeds (Rai/ Kadugu), Methi Seeds (Fenugreek Seeds), Dry Red Chillies, Pearl onions (Sambar Onions), Turmeric powder (Haldi), Kashmiri Red Chilli Powder, Salt, Lemon juice, Mustard oil, Fresh coconut, Ginger, Garlic, Green Chillies, Turmeric powder (Haldi), Cumin powder (Jeera), Coriander Powder (Dhania)","250 grams Prawns  1 cup Coconut milk  1 teaspoon Tamarind Paste  1 sprig Curry leaves  1/2 teaspoon Mustard seeds (Rai/ Kadugu)  1/2 teaspoon Methi Seeds (Fenugreek Seeds)  2 Dry Red Chillies  3 Pearl onions (Sambar Onions)  1 teaspoon Turmeric powder (Haldi)  1 teaspoon Kashmiri Red Chilli Powder Salt , to taste  1 teaspoon Lemon juice  3 teaspoon Mustard oil For the paste 3/4 cup Fresh coconut , grated  1 teaspoon Ginger , chopped  2 teaspoon Garlic , chopped  2 Green Chillies  1/2 teaspoon Turmeric powder (Haldi)  1/2 teaspoon Cumin powder (Jeera)  1 teaspoon Coriander Powder (Dhania)",10.0,50.0,"To begin making the Malabar Prawn Curry recipe, wash and clean the prawns.Marinate the prawn with 1 teaspoon turmeric powder, 1 teaspoon red chilli powder, 1 teaspoon salt and a juice of half a lemon for 30 minutes.Take 1 cup of grated coconut and pour over 1 cup of boiling water and extract the coconut milk through a sieve.Grind all the ingredients marked under ‘For the Paste’ with some water and keep it aside in a grinder.In a heavy bottomed pan, fry the prawns on both sides in mustard oil for 3 to 4 minutes. Remove and keep aside.In the same pan, add a little more oil, when it is hot, add the mustard and fenugreek seeds, once they start to splutter, add the curry leaves, dry red chillies, and the onions.Fry till the onions turns a little brown and then add the ground masala. Saute for 5 to 6 minutes or till oil comes out from it on medium heat.Add salt and tamarind paste and cook for further 3 to 4 minutes.Now add the prawns and cook for 3 to 4 minutes and then add the coconut milk.Let it comes to a boil and then lower the heat and let the curry cook for 2 to 3 minutes more.Switch off the gas and keep it covered to trap the aroma of the curry inside. Serve Malabar Prawn Curry with hot steamed rice and any raita of your choice for a delicious meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Alaka_Jena/Malabar_Prawn_Curry.jpg,savory
Sweet Potato Pineapple Skewers In Spicy Sweetish Peanut Dip Recipe,"Sweet Potato Pineapple Skewers In Spicy Sweetish Peanut Dip Recipe is an excellent and delicious party dish. This is a crowd pleaser and can be made when you have your guests at home. In this recipe, sweet potato and pineapple are marinated in a spicy sauce and later grilled in a tandoor or a pan. The grilled sweet potato pineapple skewers are is later served along with spicy sweetish peanut dip. You can serve Sweet Potato Pineapple Skewers In Spicy Sweetish Peanut Dip Recipe along with other skewers like Paprika Chicken Skewers Recipe and Grilled Tofu in Spicy Plum Barbecue Sauce for a weekend house party for starters.",Asian,Appetizer,"Sweet Potatoes, Pineapple, Extra Virgin Olive Oil, Red Chilli powder, Lemon juice, Garlic powder, Soy sauce, Salt, Peanut Butter, Water, Lemon, Soy sauce, Honey, Garlic powder, Red Chilli powder","Ingredients for skewers:  2 Sweet Potatoes , cut into 1 inch cubes  1 Pineapple , cut into cubes  2 tablespoons Extra Virgin Olive Oil  2 teaspoons Red Chilli powder Lemon juice , to taste  1 teaspoon Garlic powder  1 teaspoon Soy sauce Salt , to taste Ingredients for Sweetish Peanut Dip 1/2 cup Peanut Butter  1/2 cup Water  1 Lemon , juiced  1-1/2 tablespoons Soy sauce  1 teaspoon Honey  1/2 teaspoon Garlic powder  1 teaspoon Red Chilli powder",30.0,30.0,"To begin making Sweet Potato Pineapple Skewers In Spicy Sweetish Peanut Dip Recipe, soak wooden skewers in water for 15-20 minutes, to start with. Partially cook sweet potato in a microwave for about 3-4 minutes, or grill them till cooked al dente, while basting with olive oil. In a mixing bowl, take olive oil, salt, lemon juice, chilli powder, soya sauce and garlic powder. Throw in the sweet potato cubes and pineapple cubes. Mix everything well . Allow to marinate for 10 minutes. Meanwhile preheat oven for 10 mins at 180C.Skew all the marinated cubes into a skewer. Brush the leftover marinade. Grill the sweet potato pineapple skewers, flipping every 5-6 minutes, for a total of about 20 minutes, until the sweet potatoes are tender.As its getting grilled prepare the spicy peanut dip. Mix all the ingredients mentioned for peanut sauce, in a mixing bowl. The spicy sweetish peanut dip is ready.You can serve Sweet Potato Pineapple Skewers In Spicy Sweetish Peanut Dip Recipe along with other skewers like Paprika Chicken Skewers Recipe and Grilled Tofu in Spicy Plum Barbecue Sauce for a weekend house party for starters.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha-Kalluraya/Sweet_Potato_Pineapple_Skewers_In_spicy_sweetish_Peanut_dip.jpg,spicy
Chicken Dum Biryani Recipe ,Chicken Dum Biryani Recipe is one such recipe which is loved by everyone in the family.,North Indian Recipes,One Pot Dish,"Chicken, Basmati rice, Onions, Tomatoes, Green Chillies, Ginger, Garlic, Red Chilli powder, Coriander Powder (Dhania), Garam masala powder, Coriander (Dhania) Leaves, Mint Leaves (Pudina), Oil, Ghee, Salt, Hung Curd (Greek Yogurt), Red Chilli powder, Turmeric powder (Haldi), Salt","1 kg Chicken , with bone  4 cups Basmati rice  3 Onions , sliced thin  4 Tomatoes , finely chopped  4 Green Chillies , slit at the center  20 gram Ginger , ground to paste  20 gram Garlic , ground to paste  2 tablespoon Red Chilli powder  2 tablespoon Coriander Powder (Dhania)  1 tablespoon Garam masala powder  1/2 cup Coriander (Dhania) Leaves , finely chopped  1/2 cup Mint Leaves (Pudina) , finely chopped Oil , as needed Ghee , as needed Salt , to taste For marinating 1/2 cup Hung Curd (Greek Yogurt)  1 tablespoon Red Chilli powder  1 teaspoon Turmeric powder (Haldi) Salt , as required",30.0,120.0,"To begin making the Chicken Biryani recipe, we will first begin with the rice preparation. To cook basmati rice separately, wash and soak the basmati rice in water for 20 minutes.Meanwhile add about 3 litres of water in a large vessel and bring it to boil.Once water starts to boil, add about 1 teaspoon of cooking oil and 1 teaspoon of salt. Add the soaked and drained rice, stir gently once and cook for about 3 to 5 minutes (I usually take it off heat by 3-1/2 minutes).Keep an eye on rice as some brands of basmati rice cooks very fast and some takes time. My rice was cooked in 5 minutes. Drain the water immediately and spread the rice on a large plate.In a deep bottomed pan, heat oil on medium flame,  add 1 sliced onion and fry it until brown (don’t burn the onions). Remove browned onion from oil and keep it aside. This will be used for garnishing and to make the layers.The next step is to marinate the chicken for the Chicken Dum Biryani Recipe.Clean and wash the chicken thoroughly.In a mixing bowl, marinate the chicken with thick curd, red chili powder, turmeric powder and salt.Marinate for at least 30 minutes. In a large pan, add oil and heat on medium flame, add the remaining sliced onions and saute for 3 minutes or until the onions turn translucent. Next add ginger-garlic paste and saute till the raw smell goes off.Add slit green chilies and mix for a minute.To this add chopped tomatoes and saute till tomatoes turn slightly mushy.Once the tomatoes are mushy add red chili powder, coriander powder and salt and saute it for about 2 minutes.Add 3 tablespoons of both coriander and mint leaves and mix.Finally, add  the marinated chicken for the biryani and mix well. Cook until chicken is fully cooked. Once chicken is cooked, if you find there is excess water, increase the flame and thicken the masala. We need the masala just to coat the chicken.Take a large wide, deep vessel, add ghee and spread it to coat all the bottom and sides of the pan, reduce the flame to low. Add about 2 full tablespoons of the thick chicken biryani masala and spread it all over the bottom.Next, add cooked basmati rice over the chicken biryani masala and gently spread the rice to cover the chicken. Use a tea spoon and remove the top oily layer from masala and drizzle over the rice, this will add flavours to the rice and also give colour.Repeat the layering process until you have used up all rice and chicken. Over the top sprinkle coriander and mint leaves and browned onions and close with a lid.Ensure the flame is low and place a heavy weight on top of lid to trap the steam inside to cook the Chicken Dum Biryani recipe. Leave the dum biryani aside for 10 minutes until all the flavors seep through.Scoop out the Chicken Dum Biryani from the edges of the pan, making sure not to break the rice grains.Serve Chicken Dum Biryani Recipe with Pickled onions, Burani Raita and Mirchi Ka Salan Recipe (Chillies in Tangy Spicy Peanut Sesame Curry) for Sunday afternoon lunch.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/Chicken_Biryani.jpg,savory
Meni Style Senai Kilangu Masala Recipe - Yam in Spicy Gravy,Kongunadu Style Senai Kilangu Masala Recipe (Yam in Spicy Gravy) is a recipe that is from Tamil Nadu. Kongunadu is a part of Tamil Nadu cuisine which is famous for its spicy flavor. In this recipe we have used different spice mixtures that are roasted well and ground into a spicy paste and cooked along with yam.,Tamil Nadu,Side Dish,"Elephant yam (Suran/Senai/Ratalu), Turmeric powder (Haldi), Mustard seeds (Rai/ Kadugu), Curry leaves, Salt, Oil, Cinnamon Stick (Dalchini), Garlic, Ginger, Poppy seeds, Coconut Oil, Dry Red Chillies, Curry leaves","300 grams Elephant yam (Suran/Senai/Ratalu) , sking peeled and sliced thin  1/2 teaspoon Turmeric powder (Haldi)  1 teaspoon Mustard seeds (Rai/ Kadugu)  1 sprig Curry leaves Salt , to taste Oil , for cooking For the Spice Mixture 1 inch Cinnamon Stick (Dalchini)  4 cloves Garlic  1 inch Ginger , chopped  2 tablespoon Poppy seeds  2 tablespoon Coconut Oil  2 Dry Red Chillies  1 sprig Curry leaves",10.0,30.0,"To begin making the Kongunadu Style Senai Kilangu Masala Recipe, we will first pressure cook the yam with water, turmeric powder, salt for about 2 whistle.Release the pressure naturally, and drain the excess water and keep the cooked yam aside.Heat a flat skillet with oil, add curry leaves and allow it splutter for few seconds, add cinnamon stick, cloves and let it saute for few seconds.Add dry red chillies, garlic, and ginger and saute until it softens. Later add poppy seeds and grated coconut and saute until they turn light brown.Switch off the heat and allow it to cool down. Transfer it to a mixing jar and add little water and grind it into a smooth paste.Heat the same pan again with oil, add mustard seeds and curry leaves and allow it splutter and crackle for few seconds.Add your ground paste and give it a stir. Finally add cooked yam and mix the masalas well. Cook until the masala has reduced and you get a dry mixture.Check for salt and adjust the seasoning according to your palate and serve hot.Serve the Kongunadu Style Senai Kilangu Masala Recipe along with Tawa Paratha, Palak Dal and Steamed rice to enjoy your everyday lunch.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Kongunadu_Style_Senai_Kilangu_Masala_Recipe_Yam_in_Spicy_Gravy.jpg,savory
Karwar Style Kairichi Udid Methi Recipe (Raw Mango Methi Curry),"Karwar Style Kairichi Udid Methi Recipe (Raw Mango Methi Curry) is a Konkani style raw mango curry. Its tangy, spicy, little sweetish with a hint of bitterness acquired from methi seeds in it. Its one of the must dish in Konkani festivals. Served with steamed rice, they taste absolute finger licking.",Karnataka,Dinner,"Mango (Raw), Fresh coconut, White Urad Dal (Split), Methi Seeds (Fenugreek Seeds), Basmati rice, Dry Red Chillies, Turmeric powder (Haldi), Curry leaves, Mustard seeds (Rai/ Kadugu), Asafoetida (hing), Jaggery, Salt, Coconut Oil","2 Mango (Raw) , peeled and chopped  1 cup Fresh coconut , grated  1 tablespoon White Urad Dal (Split)  1 teaspoon Methi Seeds (Fenugreek Seeds)  1 tablespoon Basmati rice  5 Dry Red Chillies  1/2 teaspoon Turmeric powder (Haldi) Curry leaves , few  1/2 teaspoon Mustard seeds (Rai/ Kadugu) Asafoetida (hing) , a pinch   2 tablespoons Jaggery , adjustable Salt , to taste Coconut Oil , as required",10.0,20.0,"To begin making the Karwar Style Kairichi Udid Methi Recipe (Raw Mango Methi Curry), chop raw mango into bite sized pieces. Into the pressure cooker, add  turmeric powder, salt and 1/4 cup of water and pressure cook for 3 whistles.Meanwhile, in a small pan, roast the urad dal, fenugreek seeds, rice and red chillies till crisp. Grind this along with coconut adding little water and make a smooth paste.When the raw mangoes are cooked add the ground masala to it. Add salt, jaggery and few curry leaves. Mix everything well and bring the Kairichi Udid Methi Curry to boil. Add some water to get the desired consistencyThe next step is to prepare the tempering. Add oil in a small tadka pan and when its hot add mustard seeds, hing and few curry leaves. Pour into Kairichi Udid Methi and it is ready to be served.Serve Karwar Style Kairichi Udid Methi Recipe (Raw Mango Methi Curry) along with Punjabi Style Tinda Sabji, Palak Raita and Phulka for your everyday meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha-Kalluraya/Udid_Meti_Karwar_Style_Green_Mango_Curry_With_Methi.jpg,spicy
